%Jan  3 16:44:49:053 2021 capacita-ansible SSHS/6/SSHS_AUTH_SUCCESS: SSH user ansible from 10.100.29.56 port 36894 passed password authentication.
%Jan  3 16:44:49:058 2021 capacita-ansible SSHS/6/SSHS_LOG: Subsystem request for netconf.
%Jan  3 16:44:50:080 2021 capacita-ansible SSHS/6/SSHS_CONNECT: SSH user ansible (IP: 10.100.29.56) connected to the server successfully.
%Jan  3 16:44:50:328 2021 capacita-ansible SHELL/5/SHELL_LOGIN: ansible logged in from 10.100.29.56.
*Jan  3 16:44:50:690 2021 capacita-ansible XMLAGENT/7/GET: User (ansible, 10.100.29.56, session ID 1), message ID=urn:uuid:3cf5f373-ea12-4481-bfb4-5e050877c687,  XML2DOM=767 us, DOM dispatch=1481 us, processing by plugin=2659 us, reply processing=365 us.
%Jan  3 16:44:50:924 2021 capacita-ansible SSHS/6/SSHS_DISCONNECT: SSH user ansible (IP: 10.100.29.56) disconnected from the server.
%Jan  3 16:44:50:944 2021 capacita-ansible SHELL/5/SHELL_LOGOUT: ansible logged out from 10.100.29.56.
%Jan  3 16:44:51:593 2021 capacita-ansible SSHS/6/SSHS_AUTH_SUCCESS: SSH user ansible from 10.100.29.56 port 36898 passed password authentication.
%Jan  3 16:44:51:599 2021 capacita-ansible SSHS/6/SSHS_LOG: Subsystem request for netconf.
%Jan  3 16:44:52:611 2021 capacita-ansible SSHS/6/SSHS_CONNECT: SSH user ansible (IP: 10.100.29.56) connected to the server successfully.
%Jan  3 16:44:52:807 2021 capacita-ansible SHELL/5/SHELL_LOGIN: ansible logged in from 10.100.29.56.
*Jan  3 16:44:53:123 2021 capacita-ansible XMLAGENT/7/GET: User (ansible, 10.100.29.56, session ID 1), message ID=urn:uuid:f35ba5bf-74e2-4bc7-97d6-e06b37e61d58,  XML2DOM=756 us, DOM dispatch=1396 us, processing by plugin=3339 us, reply processing=431 us.
%Jan  3 16:44:53:380 2021 capacita-ansible SHELL/5/SHELL_LOGOUT: ansible logged out from 10.100.29.56.
%Jan  3 16:44:53:383 2021 capacita-ansible SSHS/6/SSHS_LOG: User ansible logged out from 10.100.29.56 port 36898.
%Jan  3 16:44:53:389 2021 capacita-ansible SSHS/6/SSHS_DISCONNECT: SSH user ansible (IP: 10.100.29.56) disconnected from the server.
%Jan  3 16:44:53:949 2021 capacita-ansible SSHS/6/SSHS_AUTH_SUCCESS: SSH user ansible from 10.100.29.56 port 36904 passed password authentication.
%Jan  3 16:44:53:954 2021 capacita-ansible SSHS/6/SSHS_LOG: Subsystem request for netconf.
%Jan  3 16:44:54:966 2021 capacita-ansible SSHS/6/SSHS_CONNECT: SSH user ansible (IP: 10.100.29.56) connected to the server successfully.
%Jan  3 16:44:55:167 2021 capacita-ansible SHELL/5/SHELL_LOGIN: ansible logged in from 10.100.29.56.
*Jan  3 16:44:55:488 2021 capacita-ansible XMLAGENT/7/GET: User (ansible, 10.100.29.56, session ID 1), message ID=urn:uuid:6a013086-1ea9-42a5-a303-8e64f11bf192,  XML2DOM=797 us, DOM dispatch=1517 us, processing by plugin=157 us, reply processing=272 us.
%Jan  3 16:44:55:727 2021 capacita-ansible SSHS/6/SSHS_DISCONNECT: SSH user ansible (IP: 10.100.29.56) disconnected from the server.
%Jan  3 16:44:55:742 2021 capacita-ansible SHELL/5/SHELL_LOGOUT: ansible logged out from 10.100.29.56.
%Jan  3 16:44:56:410 2021 capacita-ansible SSHS/6/SSHS_AUTH_SUCCESS: SSH user ansible from 10.100.29.56 port 36918 passed password authentication.
%Jan  3 16:44:56:415 2021 capacita-ansible SSHS/6/SSHS_LOG: Subsystem request for netconf.
%Jan  3 16:44:57:428 2021 capacita-ansible SSHS/6/SSHS_CONNECT: SSH user ansible (IP: 10.100.29.56) connected to the server successfully.
%Jan  3 16:44:57:640 2021 capacita-ansible SHELL/5/SHELL_LOGIN: ansible logged in from 10.100.29.56.
